,group,domain,url,count
71,11,androidcommunity.com,https://androidcommunity.com/samsung-galaxy-a90-may-come-with-a-snapdragon-855-tof-sensor-20190626/,9
72,11,androidcommunity.com,https://androidcommunity.com/youtube-musics-smart-downloads-automatically-downloads-songs-you-liked-20190628/,9
73,12,archpaper.com,https://archpaper.com/2019/06/robert-mckinley-shoppable-bungalow-long-island-montauk/,3
74,12,archpaper.com,https://archpaper.com/2019/06/vishaan-chakrabarti-dean-uc-berkeley-college-of-environmental-design/,3
75,12,archpaper.com,https://archpaper.com/2019/06/weiss-manfredi-reinvents-their-approach/,3
76,13,arstechnica.com,https://arstechnica.com/information-technology/2019/06/apple-moves-mac-pro-production-from-texas-to-china/,6
77,13,arstechnica.com,https://arstechnica.com/information-technology/2019/06/is-there-something-in-the-water-third-florida-city-hit-by-ransomware/,6
78,13,arstechnica.com,https://arstechnica.com/information-technology/2019/06/new-ransomware-infections-are-the-worst-drive-by-attacks-in-recent-memory/,6
79,13,arstechnica.com,https://arstechnica.com/information-technology/2019/06/renewable-electricity-beat-out-coal-for-the-first-time-in-april/,6
80,13,arstechnica.com,https://arstechnica.com/tech-policy/2019/06/author-pulls-software-that-used-deep-learning-to-virtually-undress-women/,6
81,13,arstechnica.com,https://arstechnica.com/tech-policy/2019/06/trump-tweets-will-get-warning-labels-if-they-break-rules-twitter-says/,6
82,14,www.3dnatives.com,https://www.3dnatives.com/arme-impression-3d-240620193/,11
83,14,www.3dnatives.com,https://www.3dnatives.com/echecs-impression-3d-23062019/,11
84,14,www.3dnatives.com,https://www.3dnatives.com/es/deriva-sailmakers-mochilas-3d-280620192/,11
85,14,www.3dnatives.com,https://www.3dnatives.com/es/mink-impresora-3d-de-maquillaje-270620192/,11
86,14,www.3dnatives.com,https://www.3dnatives.com/es/servicios-de-impresion-3d-en-espana-250620192/,11
87,14,www.3dnatives.com,https://www.3dnatives.com/es/top-softwares-reparar-archivos-stl-240620192/,11
88,14,www.3dnatives.com,https://www.3dnatives.com/hyperganic-design-25062019/,11
89,14,www.3dnatives.com,https://www.3dnatives.com/impression-3d-de-coeurs-260620193/,11
90,14,www.3dnatives.com,https://www.3dnatives.com/logiciels-reparer-fichier-stl-24062019/,11
91,14,www.3dnatives.com,https://www.3dnatives.com/mailles-imprimees-en-3d-26062019/,11
92,14,www.3dnatives.com,https://www.3dnatives.com/soliquid-impression-suspension-27062019/,11
93,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/3d-print-bmw-vision-m-next-concept-car/,7
94,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/alfa-romeo-f1-racing-orders-4th-metalfab1-system-form-additive-industries/,7
95,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/beam-it-two-slm-solutions-3d-printers/,7
96,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/industry-2030-3d-printing-europe-industrial-future/,7
97,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/new-balance-triplecell-platform-3d-printed-footwear/,7
98,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/schunk-carbon-technology-anisoprint-3d-printing-tool/,7
99,15,www.3dprintingmedia.network,https://www.3dprintingmedia.network/ubc-canadian-install-ge-additive-q20plus-3d-printer/,7
100,16,www.9and10news.com,https://www.9and10news.com/2019/06/28/the-four-podcast-northwest-michigan-works-with-evelyn-szpliet/,2
101,16,www.9and10news.com,https://www.9and10news.com/2019/06/28/traverse-city-film-festival-lineup-2019/,2
102,17,www.abccolumbia.com,https://www.abccolumbia.com/2019/06/28/deputies-man-stabbed-woman-self-in-front-of-child/,2
103,17,www.abccolumbia.com,https://www.abccolumbia.com/2019/06/28/lexington-man-arrested-on-child-pornography-charges/,2
104,18,www.abqjournal.com,https://www.abqjournal.com/1331961/state-environmental-agency-wins-epa-grant.html,4
105,18,www.abqjournal.com,https://www.abqjournal.com/1332979/nm-seeks-comment-on-election-rules.html,4
106,18,www.abqjournal.com,https://www.abqjournal.com/1333687/mescalero-apache-to-offer-sports-betting-at-casino.html,4
107,18,www.abqjournal.com,https://www.abqjournal.com/1334247/four-corners-hospital-layoffs-5-of-staff-amid-cuts.html,4
108,19,www.accountingtoday.com,https://www.accountingtoday.com/list/firms-giving-back-cla-donates-more-than-1-000-childrens-books,5
109,19,www.accountingtoday.com,https://www.accountingtoday.com/list/the-state-of-bookkeeping-in-2019,5
110,19,www.accountingtoday.com,https://www.accountingtoday.com/news/gasb-proposes-guidance-on-deferred-compensation-plans,5
111,19,www.accountingtoday.com,https://www.accountingtoday.com/news/ima-expands-diversity-and-inclusion-efforts,5
112,19,www.accountingtoday.com,https://www.accountingtoday.com/news/irs-issues-proposed-regs-on-college-and-university-endowment-income?feed=00000158-20c2-d6a2-adfb-70ebc3670000,5
113,20,www.aerotelegraph.com,https://www.aerotelegraph.com/737-max-von-tuifly-und-sun-express-stehen-auf-mitarbeiterparkplatz,6
114,20,www.aerotelegraph.com,https://www.aerotelegraph.com/adria-airways-in-schwierigkeiten,6
115,20,www.aerotelegraph.com,https://www.aerotelegraph.com/auch-qatar-airways-haette-interesse-an-a350-frachter,6
116,20,www.aerotelegraph.com,https://www.aerotelegraph.com/flughafen-koeln-bonn-nicht-profitabel-genug,6
117,20,www.aerotelegraph.com,https://www.aerotelegraph.com/kuwait-airways-nizza-boeing-777-holt-sich-blechschaden,6
118,20,www.aerotelegraph.com,https://www.aerotelegraph.com/name-germania-endgueltig-vom-himmel-verschwunden,6
119,21,www.agprofessional.com,https://www.agprofessional.com/article/against-marijuana-experts-say-grow-hemp,4
120,21,www.agprofessional.com,https://www.agprofessional.com/article/assert-confidence-your-recommendations,4
121,21,www.agprofessional.com,https://www.agprofessional.com/article/gemplers-marks-80-years-refocuses-new-ownership,4
122,21,www.agprofessional.com,https://www.agprofessional.com/article/usda-reports-bring-bears-corn-market,4
123,22,www.aikenstandard.com,https://www.aikenstandard.com/lifestyle/religion-briefs-for-friday-june/article_200e2d6e-9920-11e9-a95d-e710d7fb7784.html,5
124,22,www.aikenstandard.com,https://www.aikenstandard.com/news/lineup-announced-for-jack-o-lantern-jubilee/article_b8732440-99ea-11e9-9f15-e30cacdc633a.html,5
125,22,www.aikenstandard.com,https://www.aikenstandard.com/news/south-boundary-reopened-to-traffic-friday-morning/article_79fb355e-990e-11e9-a2cb-c77c8bd5bc16.html,5
126,22,www.aikenstandard.com,https://www.aikenstandard.com/news/south-boundary-to-be-closed-to-traffic-friday-morning/article_79fb355e-990e-11e9-a2cb-c77c8bd5bc16.html,5
127,22,www.aikenstandard.com,https://www.aikenstandard.com/srel-critters-visit-jackson/collection_ebdfbc1e-987b-11e9-9fef-b3a4303bccbb.html,5
128,23,www.ainonline.com,https://www.ainonline.com/aviation-news/air-transport/2019-06-24/lufthansa-reveals-major-shake-eurowings,6
129,23,www.ainonline.com,https://www.ainonline.com/aviation-news/business-aviation/2019-06-27/faa-administrator-nominee-dickson-defends-disclosures,6
